state,year,stateid,vio,mur,rap,aga,bur,auto,shall,density,rpcpi,rpcui,rpcim,pbm1019,pbm2029,pwm1019,pwm2029
Alabama,1977,1,414.44444444444446,14.200542005420054,25.176151761517616,278.26558265582656,1135.5284552845528,280.7317073170732,1,74.552398681640625,9561.0556640625,75.9075927734375,166.6666717529297,2.9977760314941406,1.9804519414901733,6.832653999328613,6.281441688537598
Alabama,1978,1,419.0807055050775,13.335114911811866,25.494388027792624,281.1598075895243,1229.3158738642437,302.4853019775521,1,75.56669616699219,9914.1103515625,55.214725494384766,157.9754638671875,2.9069600105285645,2.0254456996917725,6.675037384033203,6.2995781898498535
Alabama,1979,1,413.3191828071106,13.159989387105334,27.513929424250463,263.14672326877155,1287.2645263995755,320.08490315733616,1,76.24532318115234,9833.3330078125,57.85123825073242,183.19558715820312,2.8174314498901367,2.0689315795898438,6.522352695465088,6.334568977355957
Alabama,1980,1,448.5343131339237,13.181522250875705,29.988610543249635,273.2381950274844,1526.6740662743114,316.2011526192384,1,76.70116424560547,9496.359375,76.45631408691406,192.96116638183594,2.758591651916504,2.13169264793396,6.372511863708496,6.3861799240112305
Alabama,1981,1,470.45454545454544,11.874361593462716,26.072522982635345,306.05209397344225,1450.7405515832481,284.19305413687437,1,77.18657684326172,9525.8525390625,60.50605010986328,188.11880493164062,2.728555679321289,2.1537468433380127,6.219542026519775,6.471193313598633
Alabama,1982,1,447.7047933045904,10.575703778848592,26.020796347958406,299.086989601826,1256.1755008876492,273.31980725336035,1,77.319244384765625,9483.9375,79.7927474975586,177.2020721435547,2.6831884384155273,2.161816120147705,6.046262741088867,6.5082502365112305
Alabama,1983,1,416.0394038898712,9.194240969941903,23.516039403889874,284.9456933569083,1073.1245263955543,230.51275574640061,1,77.49329376220703,9811.2451171875,82.329315185546875,186.7469940185547,2.638895034790039,2.166996479034424,5.88300895690918,6.541252136230469
Alabama,1984,1,431.1779448621554,9.373433583959901,25.11278195488722,300.6265664160401,1001.7543859649123,233.55889724310774,1,77.84230041503906,10348.412109375,55.822906494140625,181.9056854248047,2.582977771759033,2.156846523284912,5.711980819702148,6.537117004394531
Alabama,1985,1,457.54787366326786,9.84829644367073,26.834120865456352,315.49365829395674,1034.8669485202686,258.51778164635664,1,78.25010681152344,10691.4501953125,48.3271369934082,174.72119140625,2.5335259437561035,2.1301302909851074,5.580050468444824,6.475475311279297
Alabama,1986,1,558.0064150012337,10.09129040217123,28.374043918085366,407.94473229706387,1158.9933382679496,266.98741672834933,1,78.6252670288086,11021.8974609375,49.27007293701172,166.97080993652344,2.491326093673706,2.089228630065918,5.4784722328186035,6.367772102355957
Alabama,1987,1,559.2211609110948,9.306882194464855,27.847171197648787,409.8701934851825,1198.3100661278472,262.8214548126378,1,79.092010498046875,11210.3876953125,40.492958068847656,156.6901397705078,2.4789671897888184,2.0274147987365723,5.411628246307373,6.206445693969727
Alabama,1988,1,558.5655439786769,9.886115822631451,29.7552701720378,401.16307244972137,1233.8260237460627,266.7070511267264,1,79.261016845703125,11529.1630859375,32.96703338623047,161.4539337158203,2.4735960960388184,1.960655689239502,5.368951797485352,6.021634101867676
Alabama,1989,1,590.7965031568723,10.223409422049539,30.985915492957748,415.66294317629917,1146.7702768334143,297.4502185526955,1,79.38665008544922,11916.12890625,33.870967864990234,169.35484313964844,2.4677505493164062,1.8873865604400635,5.303966522216797,5.838675498962402
Alabama,1990,1,708.5604146130253,11.55772663724355,32.64377180840309,520.6916717793727,1103.4287839860892,347.796000927588,1,79.61326599121094,11949.5029296875,38.25554656982422,179.0359649658203,2.4462592601776123,1.8436421155929565,5.165606498718262,5.739818096160889
Alabama,1991,1,844.1672780630962,11.469797016385424,35.58327219369039,644.3629249205185,1268.5986793837124,363.36512594766447,1,80.61101531982422,11994.8603515625,46.25550842285156,192.36416625976562,2.4458417892456055,1.8445255756378174,5.0339460372924805,5.672857284545898
Alabama,1992,1,871.6634429400387,11.000967117988395,41.19922630560928,654.5938104448743,1186.0009671179885,362.25822050290134,1,81.56163024902344,12305.060546875,55.59515380859375,227.3699188232422,2.4433298110961914,1.8668031692504883,4.948917388916016,5.5823140144348145
Alabama,1993,1,780.415572008598,11.559589204681156,35.132553140673515,574.2536422259375,1088.559828039169,337.7597325053738,1,82.62261199951172,12294.8095703125,47.7508659362793,233.9100341796875,2.427837610244751,1.891982913017273,4.922618389129639,5.438702583312988
